"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","Cluster"
"54",201,206,318,1019,3317,5808,8781,12150,16577,20020,23864,30175,35042,41589,48161,54713,61776,68432,73625,80157,85659,88647,90290,90703,"Normal"
"55",0,205,446,1724,3003,5830,8999,12658,16980,23106,30578,38781,46836,55755,64882,74164,79713,85468,91870,95878,98732,102472,103553,104275,"Normal"
"56",122,125,172,639,1454,3257,5798,9333,12634,16299,19755,24023,27835,33536,37775,45222,49453,53766,58656,62678,65629,68456,69536,69717,"Good"
"57",134,460,506,811,1622,2723,4548,7356,10853,13741,16948,19435,21649,25091,28476,32652,36927,41202,45529,50582,54037,55408,56492,56854,"Great"
"58",589,615,667,835,1362,1883,3132,5026,7327,9264,10744,13845,16492,21156,23927,28737,31450,34521,38980,43157,46833,49016,50191,50436,"Great"
"59",78,299,454,777,1278,3046,4448,5478,6980,8297,10121,12145,14517,17767,20372,24440,27399,31581,36170,39751,43735,46944,48414,49019,"Great"
"61",0,2,384,2947,5838,10190,16428,22238,31292,38534,49848,58949,71482,83801,92829,105446,116816,127340,136394,143683,148028,150627,151725,151894,"Bad"
"62",296,379,1257,3901,5618,9670,14331,18022,22635,26153,30533,34852,39218,44240,48875,53631,58835,63336,67449,70691,73620,75797,76730,77180,"Good"
"64",210,592,593,1390,1849,2486,4408,5703,9340,11913,14832,18377,22178,27879,33356,38470,44640,50776,56527,61278,63681,65150,65848,66213,"Good"
"65",0,3,36,400,1190,2320,4446,6305,9661,11786,14565,17170,19751,22085,24518,28614,31111,34910,38957,42450,44215,45673,47199,47405,"Great"
"66",118,199,596,2758,4073,8781,12493,17523,24074,28331,33901,39179,46333,54061,61552,74079,82161,89318,95710,100292,104212,106460,107198,107729,"Normal"
"67",90,117,373,2498,4478,8137,11958,15130,18565,21808,24945,28535,33045,36756,40278,44215,47195,51448,55325,57654,60084,61035,61530,62293,"Good"
"68",285,292,345,782,1840,3295,6053,7945,10583,12004,13960,15426,17829,20459,22983,24902,27742,30199,33056,35485,37700,39779,40568,41065,"Great"
"69",349,394,1362,1530,1875,3732,5360,6481,7937,9279,11016,13251,15902,18249,20359,22317,23997,25709,26996,28265,29146,29697,29697,30289,"Great"
"74",0,0,49,581,1138,2534,4443,5634,7669,8813,10719,13352,16394,19593,23003,27736,32168,36546,40907,43869,46287,47394,48884,49167,"Great"
